"Control Number","Control Title","Implementation Status","Responsible Entities","Implementation Description","Assessment Procedures"
"SC-12","Cryptographic Key Establishment and Management","Implemented","Platform Team / Certificate Management; Platform Team / Secrets Management","Cryptographic key management: (1) cert-manager automates TLS certificate lifecycle with ClusterIssuers for internal CA and Let's Encrypt, (2) OpenBao PKI secrets engine issues and rotates internal certificates, (3) OpenBao auto-unseal uses cloud KMS for master key protection, (4) Istio istiod automatically issues and rotates workload certificates, (5) All cryptographic operations use FIPS 140-2 validated modules. Evidence artifacts: platform/core/cert-manager/helmrelease.yaml, platform/core/openbao/helmrelease.yaml. Continuous monitoring: cert-manager metrics track certificate lifecycle. OpenBao audit log tracks key usage. Prometheus alerts on expiring certificates.","Verify communications protection by checking Istio mTLS STRICT mode, NetworkPolicy coverage across namespaces, cert-manager certificate validity, and FIPS mode status. Evidence: PeerAuthentication status, NetworkPolicy list, certificate expiry dates."
"SC-13","Cryptographic Protection","Implemented","Platform Team / Kubernetes Operations; Platform Team / Infrastructure Automation","FIPS 140-2 validated cryptography: (1) RKE2 compiled with GoBoring Go compiler providing FIPS 140-2 validated cryptographic module for all control plane and data plane operations, (2) Rocky Linux 9 configured with system-wide FIPS crypto policy via Ansible restricting all OS-level cryptography to FIPS-approved algorithms, (3) TLS 1.2+ enforced for all communications with FIPS-compliant cipher suites only. Evidence artifacts: infrastructure/ansible/roles/os-hardening/tasks/crypto-policy.yml. Continuous monitoring: FIPS mode status verified on nodes via Ansible facts. Crypto policy compliance checked by STIG validation scripts.","Verify communications protection by checking Istio mTLS STRICT mode, NetworkPolicy coverage across namespaces, cert-manager certificate validity, and FIPS mode status. Evidence: PeerAuthentication status, NetworkPolicy list, certificate expiry dates."
"SC-28","Protection of Information at Rest","Implemented","Platform Team / Secrets Management; Platform Team / Kubernetes Operations","Data at rest encryption: (1) Kubernetes Secrets encrypted at rest via RKE2 default encryption configuration using AES-CBC, (2) OpenBao uses an encrypted storage backend with seal/unseal protection via KMS, (3) Loki log storage encrypted at rest via S3-compatible object storage encryption, (4) Persistent volumes can be encrypted via storage class configuration. Evidence artifacts: platform/core/openbao/helmrelease.yaml. Continuous monitoring: Encryption status verified via RKE2 configuration audits. OpenBao seal status monitored via Prometheus.","Verify communications protection by checking Istio mTLS STRICT mode, NetworkPolicy coverage across namespaces, cert-manager certificate validity, and FIPS mode status. Evidence: PeerAuthentication status, NetworkPolicy list, certificate expiry dates."
"SC-3","Security Function Isolation","Implemented","Platform Team / Service Mesh; Platform Team / Policy Enforcement","Security function isolation: (1) Kubernetes namespaces provide resource isolation between platform components and tenants, (2) NetworkPolicies enforce default-deny communication between namespaces with explicit allow rules, (3) Istio AuthorizationPolicies provide service-level access control within and across namespaces, (4) Platform namespaces are protected from tenant modification by Kyverno policies. Evidence artifacts: platform/core/istio/helmrelease-istiod.yaml (AuthorizationPolicy configured in HelmRelease values), apps/tenants/_base/network-policies/default-deny.yaml. Continuous monitoring: Istio telemetry tracks cross-namespace traffic. Kyverno reports unauthorized access attempts.","Verify communications protection by checking Istio mTLS STRICT mode, NetworkPolicy coverage across namespaces, cert-manager certificate validity, and FIPS mode status. Evidence: PeerAuthentication status, NetworkPolicy list, certificate expiry dates."
"SC-7","Boundary Protection","Implemented","Platform Team / Service Mesh; Platform Team / Runtime Security","Boundary protection layers: (1) Istio ingress gateway as the single entry point for all external traffic with TLS termination and traffic routing, (2) Istio egress gateway controlling all outbound cluster traffic, (3) Kubernetes NetworkPolicies with default-deny in all namespaces restricting both ingress and egress, (4) NeuVector network microsegmentation with Layer 7 DLP/WAF capabilities, (5) Cloud-level security groups (managed by OpenTofu) restricting node-level access. Evidence artifacts: platform/core/istio/helmrelease-gateway.yaml, platform/core/runtime-security/helmrelease.yaml. Continuous monitoring: Istio gateway metrics track ingress/egress traffic. NeuVector visualizes network boundaries and alerts on violations.","Verify communications protection by checking Istio mTLS STRICT mode, NetworkPolicy coverage across namespaces, cert-manager certificate validity, and FIPS mode status. Evidence: PeerAuthentication status, NetworkPolicy list, certificate expiry dates."
"SC-8","Transmission Confidentiality and Integrity","Implemented","Platform Team / Service Mesh; Platform Team / Kubernetes Operations","All data in transit is encrypted: (1) Istio mTLS STRICT mode encrypts all pod-to-pod traffic with TLS 1.2+ using FIPS-compliant cipher suites, (2) External traffic TLS-terminated at Istio ingress gateway with certificates from cert-manager, (3) RKE2 control plane uses mTLS for etcd, API server, and kubelet communication, (4) SSH connections to nodes use approved ciphers configured by Ansible. Evidence artifacts: platform/core/istio/helmrelease-istiod.yaml (PeerAuthentication configured in HelmRelease values). Continuous monitoring: Istio reports mTLS status for all connections. Prometheus metrics track non-mTLS connection attempts.","Verify communications protection by checking Istio mTLS STRICT mode, NetworkPolicy coverage across namespaces, cert-manager certificate validity, and FIPS mode status. Evidence: PeerAuthentication status, NetworkPolicy list, certificate expiry dates."
"SI-2","Flaw Remediation","Implemented","Platform Team / Container Registry; Platform Team / GitOps Operations; Platform Team / Infrastructure Automation","Flaw remediation workflow: (1) Harbor + Trivy scanning identifies CVEs in container images with severity-based alerts, (2) Prometheus alerts notify teams of CRITICAL/HIGH vulnerabilities, (3) Flux CD GitOps enables automated image tag updates when patched versions are published, (4) Ansible playbooks apply OS-level security patches to cluster nodes, (5) NeuVector runtime scanning detects newly published CVEs in running workloads. Evidence artifacts: platform/addons/harbor/helmrelease.yaml, platform/flux-system/gotk-sync.yaml. Continuous monitoring: Harbor scan results continuously updated. NeuVector tracks runtime CVE status. Prometheus alerts on new critical findings.","Verify system integrity by checking Cosign image signature verification policy, Harbor scan gate status, Flux drift detection, and NeuVector runtime protection mode. Evidence: Kyverno imageVerify policy, Harbor project settings, Flux status, NeuVector policy mode."
"SI-3","Malicious Code Protection","Implemented","Platform Team / Runtime Security","Runtime malicious code protection: (1) NeuVector process monitoring detects and blocks unauthorized processes based on behavioral learning baselines, (2) File system integrity monitoring detects unexpected file modifications including web shell injection, (3) Network DLP sensors detect sensitive data patterns (PII, credentials) in network traffic, (4) Behavioral anomaly detection alerts on deviations from learned application behavior profiles. Evidence artifacts: platform/core/runtime-security/helmrelease.yaml. Continuous monitoring: NeuVector continuously monitors all container processes and network traffic. Security events forwarded to Loki via SYSLOG.","Verify system integrity by checking Cosign image signature verification policy, Harbor scan gate status, Flux drift detection, and NeuVector runtime protection mode. Evidence: Kyverno imageVerify policy, Harbor project settings, Flux status, NeuVector policy mode."
"SI-4","System Monitoring","Implemented","Platform Team / Monitoring & Observability; Platform Team / Logging & Audit; Platform Team / Runtime Security; Platform Team / Policy Enforcement","Comprehensive system monitoring: (1) Prometheus for infrastructure and application metrics with 15-day in-cluster retention, (2) Loki for centralized log aggregation with 30-90 day retention, (3) Tempo for distributed tracing of service calls, (4) NeuVector for runtime security events and behavioral monitoring, (5) Kyverno PolicyReports for continuous compliance assessment, (6) Grafana provides unified visualization across all monitoring sources. Evidence artifacts: platform/core/monitoring/helmrelease.yaml, platform/core/logging/helmrelease-loki.yaml, platform/core/runtime-security/helmrelease.yaml. Continuous monitoring: All monitoring components have ServiceMonitors for self-monitoring. AlertManager provides multi-channel alerting.","Verify system integrity by checking Cosign image signature verification policy, Harbor scan gate status, Flux drift detection, and NeuVector runtime protection mode. Evidence: Kyverno imageVerify policy, Harbor project settings, Flux status, NeuVector policy mode."
"SI-5","Security Alerts, Advisories, and Directives","Implemented","Platform Team / Monitoring & Observability; Platform Team / Runtime Security","Security alerting pipeline: (1) Grafana AlertManager routes alerts to Slack, email, and PagerDuty based on severity, (2) NeuVector CVE alerts notify teams of newly discovered vulnerabilities in running containers, (3) PrometheusRules define SRE-specific alerts for pod security violations, certificate expiry, Flux reconciliation failures, and NeuVector security events. Evidence artifacts: platform/core/monitoring/sre-alerting-rules.yaml, platform/core/runtime-security/helmrelease.yaml. Continuous monitoring: AlertManager tracks alert history with silencing and inhibition rules. NeuVector provides CVE feed integration.","Verify system integrity by checking Cosign image signature verification policy, Harbor scan gate status, Flux drift detection, and NeuVector runtime protection mode. Evidence: Kyverno imageVerify policy, Harbor project settings, Flux status, NeuVector policy mode."
"SI-6","Security Function Verification","Implemented","Platform Team / Runtime Security; Platform Team / Policy Enforcement","Security function verification: (1) NeuVector CIS benchmark scanning validates runtime security configurations against published benchmarks, (2) Kyverno background policy scanning continuously reports on existing non-compliant resources via PolicyReport CRDs, (3) STIG validation scripts check OS and Kubernetes configuration compliance, (4) Flux CD drift detection verifies deployed state matches intended configuration. Evidence artifacts: platform/core/runtime-security/helmrelease.yaml, policies/custom/. Continuous monitoring: NeuVector CIS scan results available on-demand. Kyverno background scanning runs continuously.","Verify system integrity by checking Cosign image signature verification policy, Harbor scan gate status, Flux drift detection, and NeuVector runtime protection mode. Evidence: Kyverno imageVerify policy, Harbor project settings, Flux status, NeuVector policy mode."
"SI-7","Software, Firmware, and Information Integrity","Implemented","Platform Team / Policy Enforcement; Platform Team / Container Registry; Platform Team / GitOps Operations","Software integrity assurance: (1) Cosign image signatures verified by Kyverno imageVerify ClusterPolicy on all pod admissions, (2) SBOM (Software Bill of Materials) generated at build time in SPDX + CycloneDX formats and stored in Harbor as OCI artifacts, (3) Flux CD drift detection and remediation ensures deployed state matches Git source of truth, (4) Kyverno restrict-image-registries policy limits images to the approved Harbor registry. Evidence artifacts: policies/custom/verify-image-signatures.yaml, policies/custom/restrict-image-registries.yaml, platform/flux-system/gotk-sync.yaml. Continuous monitoring: Kyverno reports image signature verification results. Flux reports drift detection status. Harbor tracks SBOM and signature status.","Verify system integrity by checking Cosign image signature verification policy, Harbor scan gate status, Flux drift detection, and NeuVector runtime protection mode. Evidence: Kyverno imageVerify policy, Harbor project settings, Flux status, NeuVector policy mode."
